subject,tag,file,lineno,PAR
covidify,bba3de2e145f4c6182ecb402fb528a663e9f9f1d,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,bba3de2e145f4c6182ecb402fb528a663e9f9f1d,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,bba3de2e145f4c6182ecb402fb528a663e9f9f1d,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,ac8f85b5b01556402d8855e702f42cb05249499b,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,ac8f85b5b01556402d8855e702f42cb05249499b,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,ac8f85b5b01556402d8855e702f42cb05249499b,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,ac8f85b5b01556402d8855e702f42cb05249499b,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,3a311b08a0b649b5834796a52b97850ba03b5734,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,3a311b08a0b649b5834796a52b97850ba03b5734,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,3a311b08a0b649b5834796a52b97850ba03b5734,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,3a311b08a0b649b5834796a52b97850ba03b5734,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,c94705dcba36232df94e6ba18b41fa81b4e8b679,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,c94705dcba36232df94e6ba18b41fa81b4e8b679,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,c94705dcba36232df94e6ba18b41fa81b4e8b679,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,c94705dcba36232df94e6ba18b41fa81b4e8b679,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,eff4c8183e6b56f0b1fa27d9068a59c1bbffbb8d,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,eff4c8183e6b56f0b1fa27d9068a59c1bbffbb8d,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,eff4c8183e6b56f0b1fa27d9068a59c1bbffbb8d,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,eff4c8183e6b56f0b1fa27d9068a59c1bbffbb8d,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,61ef7e22be30bf00ac0168bd8fa1825ac200430a,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,61ef7e22be30bf00ac0168bd8fa1825ac200430a,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,61ef7e22be30bf00ac0168bd8fa1825ac200430a,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,61ef7e22be30bf00ac0168bd8fa1825ac200430a,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,cabc1db43d16627ef9ffd03158d80e508c1e060c,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,cabc1db43d16627ef9ffd03158d80e508c1e060c,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,cabc1db43d16627ef9ffd03158d80e508c1e060c,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,cabc1db43d16627ef9ffd03158d80e508c1e060c,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,8c9ca59ec198a947f09b642d5020fa8a72929590,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,8c9ca59ec198a947f09b642d5020fa8a72929590,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,8c9ca59ec198a947f09b642d5020fa8a72929590,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,8c9ca59ec198a947f09b642d5020fa8a72929590,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,0b3a2c142e44c42935008518efa991caeed83f45,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,0b3a2c142e44c42935008518efa991caeed83f45,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,0b3a2c142e44c42935008518efa991caeed83f45,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,0b3a2c142e44c42935008518efa991caeed83f45,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,c77e564cdc25f1e4e0449b3f336e832ad90cb595,../../projects/well_engineered_projects/covidify/data_prep.py,14,1
covidify,c77e564cdc25f1e4e0449b3f336e832ad90cb595,../../projects/well_engineered_projects/covidify/data_prep.py,82,1
covidify,c77e564cdc25f1e4e0449b3f336e832ad90cb595,../../projects/well_engineered_projects/covidify/data_prep.py,125,1
covidify,c77e564cdc25f1e4e0449b3f336e832ad90cb595,../../projects/well_engineered_projects/covidify/data_prep.py,167,1
covidify,c77e564cdc25f1e4e0449b3f336e832ad90cb595,../../projects/well_engineered_projects/covidify/data_prep.py,192,2
