hash,msg,deletions,files,date,Path,Project_name
d5b8c3ef8e665347ecffcdf30c8f59f449d86e56,更新许可信息,32,2,2018-08-14 23:05:22+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
408845d8fe4021562a1cf0f98e51836f8805177e,增加基于cifar10数据集 模型为resnet 对抗样本算法为bim deepfool和jsma的例子,0,3,2018-08-15 15:09:32+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
89e2a080fa8bc49aef576ae2fc863599e4372665,增加了版本功能说明,1,2,2018-08-16 09:27:30+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
df65a556b234549d2acc5afede3535157d47f9b2,调整格式,2,1,2018-08-16 10:08:52+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
698d0d66d6507d0a604920948f6649e4fa4aa8c2,增加了使用示例的说明文档,0,2,2018-08-16 23:05:35+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f162b2729a6f0e6091fc77b74ff253a824d0dd80,更新readme内容,1,1,2018-08-16 23:11:12+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8b47b600adfe0ce2ce5e87170934c182a46a33e8,增加了Paddle平台预训练模型的信息,0,1,2018-08-17 11:32:49+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d8367d6918e95006fa1ec9952842c1cc9d0b69a0,更新使用说明部分,2,1,2018-08-17 13:14:49+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8265a44969dfb352b4f2c65b9ef83983828cd3c2,增加了通用的ResNet定义,1,1,2018-08-19 09:16:11+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f2a34e89d46208408e0344e20fd59754797b4a81,增加经典论文 设计白盒 黑盒  物理攻击和防护手段,0,16,2018-08-21 10:47:03+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
43ab3e22d196e465b2a4a6a1066ad21c5d5a37cb,保留白盒攻击的论文,0,8,2018-08-21 11:14:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bbbd99106a3f7d84709abb7361cd78b3c43c9e4f,保留白盒攻击经典论文,0,2,2018-08-21 11:17:07+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ba07c1f06d47970db46f34b1c0ac5fc19bec9e11,增加攻击caffe下基于MNIST数据集的LeNet模型,0,3,2018-08-21 19:36:17+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ea4fe50d10a7df6577e755da04717b67007c0f5f,增加 math函数,0,1,2018-08-23 07:19:43+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
3e58a5bb7bf510c96053c8df630abe10a5926b1f,add tempfile,0,1,2018-08-23 07:20:08+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
abdc2c3f7ae4c319a3dcbbdf2189374c03c1791b,修改了动态epsilons的算法 从epsilons到0.5动态调整,12,3,2018-08-27 20:31:14+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8d84be94d554f1aa7763053905dfc42a54e7a99f,支持GPU,1,2,2018-08-27 20:37:37+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bfa9660a3e5e486b8d1ab0adbcb4dc6aec7b1f73,调整动态算法epsilons 从epsilons到0.5逐步增大,2,1,2018-08-27 20:49:27+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e30cae40bce507d17d5c43aa2bab541d4c4a6fd7,将示例用的图像识别模型单独成一个目录 其中 lenet是自动生成的,350,7,2018-08-28 13:03:45+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
23ef64032e9e8cc8242dbd4f07050f01f1fb1c4e,支持新目录结果,2,2,2018-08-28 13:08:23+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
6c77da7413d2735166353118d4547b4179695807,支持googlenet和mobilenet,0,3,2018-08-28 13:19:15+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
10fe857de2fbc7fe8099a615796db45b5f24fbea,修复bug 强制拷贝原始数据,3,3,2018-08-28 13:52:06+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
cce24ad43023990911efc250fea8e5fd607f1eae,修改路径,5,5,2018-08-28 13:54:09+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
722382188ef73591be6d2baf4b96d471e9a38ccf,tempfile,4,3,2018-08-28 16:26:09+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
fbea05171358751ac6e3192d811a0678cda09f93,add tempfile,0,2,2018-08-28 21:07:11+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
6582cd3d0689c3ba88432e2e7e57aefeee9a291e,add tempfile,4,2,2018-08-28 21:12:23+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
be6c616467d81d6b3bd92cb306401f165522be50,add tempfile,1,1,2018-08-28 21:14:22+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
3e8330762e1f62a0a6f2ab047d6f51cc9b48178f,temp,5,3,2018-08-28 22:23:42+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8bff941ac5d8f8d5a91b97a681e7271be39e5362,Temp,1,1,2018-08-29 10:00:26+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
81d9119a600575a7fe29304d4ca1bcf13c569eb2,支持黑盒攻击的SinglePixelAttack算法,11,3,2018-08-29 10:47:09+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
014877fcc42d7d75cc4d4c22d7cdf003db09b939,add tempfile,9,1,2018-08-29 21:45:41+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
3c78604c54495b0d62a8c6f8c09739b0cfab7c18,tempfile,2,1,2018-08-29 21:47:47+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
c730c943a62c07aad8fc15930e8b4c3aea8c1ada,增加使用黑盒攻击算法攻击mnist和cifar10的例子以及说明,6,3,2018-08-30 11:25:24+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e2f10316b5e3098b2c3625d0171afcd0d74a4509,tempfile,0,1,2018-08-30 12:46:27+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
cdf04285042a4497506cfa8db7f7198bd9f0a4fa,tempfile,22,3,2018-08-30 14:49:25+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d28782362d781423d2c1999ad951514f36455b3b,删除,234,1,2018-08-30 15:01:14+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
7dde857b61d56138b3ab30de864627ecabce7467,独立黑盒攻击的模型 不用指定损失函数,33,6,2018-08-30 16:16:19+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
5aee6e66860cdf1065130a118f84a023b96d5270,增加调试信息,5,2,2018-08-31 12:23:36+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ed5d8d8869946e005fe98aefad5f5ea631998d4a,黑盒攻击基于imagenet的alexnet,22,1,2018-08-31 12:30:48+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bf376164cf9790ba947a6beb99a375671713d12c,提交黑盒攻击经典论文,0,1,2018-08-31 13:15:21+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
17107118c4b036c90202749e7cf302e6cd0c2128,实现localsearch黑盒攻击,1,3,2018-08-31 16:00:34+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f807aba4250f9caaa44b6227ce697413beda12ba,优化攻击参数,1,1,2018-08-31 16:17:15+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bee318c75f64fd38434f06e3ff2842b435d53713,丰富调试信息,6,1,2018-08-31 21:47:31+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d261e66c1cad3bbe6f3671cbc2b0da55e8e46d2a,增加防御算法的论文,0,1,2018-09-01 20:10:03+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
684dd6df3499a39c16d293329d3894a9ef473af4,增加IBM Box的论文,0,1,2018-09-01 20:34:59+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
dc0ea031b31e940837c6ac7b3b238d0a6da9bdca,增加Foolbox的论文,0,1,2018-09-01 20:36:58+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
c38166365b5e30a877f026e338902734184cc905,tempfile,0,3,2018-09-02 20:23:55+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f237646a5fc1188926ddce4bafb113500e505a25,支持FeatureFqueezingDefence,14,2,2018-09-02 21:07:18+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
72d6f5af9fd7bdfd54cb3c8943f1089af1d44dca,实现FeatureFqueezingDefence,11,2,2018-09-02 22:12:56+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b85293fd8e05eccd259982a83e1f194c8d502aab,支持FeatureFqueezing,13,6,2018-09-03 15:48:57+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
46fdc33db9ad4388812359fc9bd5c342e0370433,更新使用文档,11,2,2018-09-03 16:04:42+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
dc446fb62512b3fb0286ac25d9c3244ba543b88c,更新文档,0,1,2018-09-03 16:06:58+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
3417c54ebadd2d85b6af3eef5c47e529ed62fa82,支持SpatialSmoothing,6,6,2018-09-03 17:15:34+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
0f421b9a7917496070566829cab28cc903785c4d,更新文档,30,1,2018-09-03 17:17:59+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
93d316e95f713935b498c43942e45577b06ec80a,支持SpatialSmoothing,6,1,2018-09-03 17:26:41+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b71bf915e4a24cf660748cd71a1d198dbc6817f0,支持LabelSmoothingDefence,5,4,2018-09-03 19:12:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
0856f796152c669afb71001797832f00134871a0,支持LabelSmoothingDefence,1,2,2018-09-03 19:18:49+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
4af4452655fb8d66642bc1ce4d511c8d2f0e9ffe,支持label smoothing,14,3,2018-09-04 08:04:04+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
c396d3a07ce9b4d9579f1147053cef8286cb3026,增加黑盒攻击的论文,0,1,2018-09-04 08:32:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
6ae4a5384e70282e4a1cacc7b368c5fa191dea41,增加GDA的论文,0,1,2018-09-04 09:48:11+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
94898bd2ef7ee6263e2b9ec565aceba0d3c2cf13,支持GaussianAugmentationDefence,0,3,2018-09-04 15:26:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
fe97d34e1d7d4ede7fa0afa5b7eb897e38e970b8,支持GaussianAugmentationDefence,1,2,2018-09-04 15:33:27+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
2dd09a26c3b01bf5d333d7eb2388ef01fe850cfe,0.3版本发布,2,2,2018-09-04 15:39:48+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e57872164b3f7e6783a9683fb3bebccb05a57480,更新论文,0,2,2018-09-04 21:49:20+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
10123ea8fd191cd1c87f00bd46ef357596dd13ba,增加黑盒攻击的论文,0,1,2018-09-04 22:12:30+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b0bf2fb0fcbd287f2e1a4e4950dc8829bc7b04b2,更新caffe2fluid,6,1,2018-09-08 22:39:54+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
38303e9a3cbc6636e4d5e8e5afe77c5401c36f6b,更新格式,13,1,2018-09-08 22:44:16+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
7a4a01be219011494e639af48c715ddc11f31a9c,更新格式,6,1,2018-09-08 22:55:39+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
764fbcbb572bcf601ba5fe9c68ae0757d2063299,更新格式,6,1,2018-09-08 22:57:28+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
811c062b8150e7197ee0eeb9dbe3db13cfc57f60,tempfile,0,3,2018-09-10 20:19:30+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8e9a6981df59a13555cddf313bf0a73541011480,底层支持tensorflow,62,4,2018-09-11 12:34:58+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
03296d1e6cd9463fef80e7f9f2fe5fc86b19e0d0,add tempfile,0,2,2018-09-12 18:33:29+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
a374fc247cf613291105a92064d5dc621d21f042,add tempfile,5,1,2018-09-12 19:29:57+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
99d21d3809e0d8dbdf9754eca1e27dd6e0ad9242,增加调试信息,10,1,2018-09-12 22:48:07+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
54c0610a8ec1ece38a76a57e405b74ff8c9bfa83,tensorflow fgsm调试成功,73,3,2018-09-13 10:22:12+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
a1463a379a4f11afc173638d4f8912e1caf3ce5a,动态调整e 支持设置上限和下限,10,4,2018-09-13 12:06:04+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
66d4254c07f333edadf327ea43013fd1720b5f6b,修改deepfool算法实现与论文不符合的地方,1,3,2018-09-13 15:13:33+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f281956a79c9fac06e8b888719a1c06a79311f33,tensorflow fgsm non-target 调试成功,16,5,2018-09-13 19:50:24+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
9658a0ba9d995218ec87eb44097d530650625b80,tensorflow FGSM target attack调试成功,3,1,2018-09-13 20:04:40+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e75b0b4d14aecae8fb8860899da403bbe01cbefa,tensorflow deepfool 调试ok,10,2,2018-09-13 20:38:30+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d8bcde1964c7f7ad65bacc52eb1baa36497d7827,修正了deepfool算法在取样环节的错位,1,1,2018-09-13 20:49:22+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
4e04324b7d51dda7488c116165fbd9cdd1283e94,支持keras的代码 临时文件,0,2,2018-09-13 23:01:39+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
062a96e9c3aaa86848e6654887504dfed9a3de58,支持keras的代码 临时文件,14,2,2018-09-14 07:12:06+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e826b0f17c172eddfa3804c2ef3f9673ab7a9626,keras  imagenet fgsm 调试ok,15,2,2018-09-14 09:55:34+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
1aa08fa3a21a4292003f05f07ed291d8ed273e9a,支持keras,31,6,2018-09-14 15:17:24+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
4bde3ebbd893e9d122f2a025587e9dc26d597db0,支持keras,6,2,2018-09-14 15:53:07+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ef59511b59a03755c33e712043f9c2211829191b,keras imagenet FGSM调试成功,13,3,2018-09-14 23:05:48+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f701d880f8a4d40af6315d7f12fa2609cb7af7af,keras module底层支持featurefqueezing防御算法 生成样本质量大大提升,7,4,2018-09-15 06:46:17+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
6500544f19c99f0fdadba846b21761c6f330bb6a,增加保存模型文件的目录,14,6,2018-09-15 11:22:25+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
47505be377fc14dee850649f264bf20cd3e942f5,增加测试图片,0,1,2018-09-15 11:22:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
306ef7fd7c959ba04274a2c465339c1018943d7f,删除多余提示信息,11,2,2018-09-15 11:56:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f9db8b9a177dafe14aa4d8723189f70ec2c36c90,增加keras的示例代码,4,6,2018-09-15 14:56:59+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
121e6a83b8fe497038c342fb479d3cb54e8ebc19,更新主页,115,4,2018-09-15 16:42:06+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
c0e65d8dfac2c8fab2988ce98c7a88bb8cd02a97,更新主页,3,1,2018-09-15 16:43:22+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b5a7dd7145ff89f5686a5d18d88482746a22a251,更新主页,1,2,2018-09-15 16:49:53+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d3cb31c4b128c846e2edfd5de2e46844937c2719,更新logo,0,1,2018-09-15 16:55:13+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
2be7afc3fea0013a7d59bab97d1325dd688eaa5f,增加目录 保存基于AdvBox开发的攻击和加固应用,0,1,2018-09-17 09:55:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
696d3177e93d069809b3e3a5f6db9bf068012d26,add face recognizition attack code,0,4,2018-09-17 15:50:14+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
6891229bb16b95cfb4aaf1fd1ed17f9c4f7b28e3,修改epsilon,3,1,2018-09-17 16:30:30+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
361c9eefea8827111f932ad5eed014f2c8c1dc31,"Merge pull request #3 from wayangGit/fr

add face recognizition attack code",0,4,2018-09-17 16:31:08+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
9b5d6f356539738515d5f24a781420ad849d8e72,支持白盒攻击facenet,4,4,2018-09-17 18:22:14+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
a8201ba6f9c800fcad115bfa37d37be3f73781c1,增加白盒攻击facenet的案例,1,1,2018-09-17 18:23:12+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ea790ad6870d0074dae99f60a636e8ab3a24ee28,增加人脸攻击的介绍,2,1,2018-09-17 18:27:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
98eaee969401fdcde83685547716835610dac5b2,修改thirdparty,1,1,2018-09-17 18:28:58+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
80d41e9e8d8216f36d51bd5ea8def49c9fd118e7,支持tensorflow,198,5,2018-09-17 22:40:54+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
a4bb39fc6e65dd86e81c709387bd8fb5cd5ed4c5,增加thirdparty,1,2,2018-09-17 22:43:19+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
cb4e194f09889f31bad9eaacd17b2028b02e91ca,增加thirdparty,0,1,2018-09-17 22:44:11+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
85dda3148c9e4c67b5e7a221877deac44b2d949c,删除无关文件,265,2,2018-09-18 16:13:01+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
a3322b70ae10219381b5f59588aaa1a6e46dcf1d,更新0.3版新增功能,0,1,2018-09-18 16:43:05+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
afa437129e90804dd85bf85cac43c780003c922a,增加注释,0,1,2018-09-18 19:24:39+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
15ac0072ee43366faccce8cd7d8cd09952fad834,调整参数,1,1,2018-09-18 19:45:34+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b7fefa7bd6cc126dab0557bb4a937eebf7df35fe,基于advbox的tf的底层接口实现人脸攻击,0,4,2018-09-19 11:05:32+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d3c277b314f6fba4e1769356a7d077b5a1718225,基于advbox的tf的底层接口实现人脸攻击,1,1,2018-09-19 11:14:04+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
5c5c782020791ad6a6a1abc60e16441740347b16,基于advbox的tf的底层接口实现人脸攻击,3,1,2018-09-19 13:56:05+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
523cefbc5eef7a89a9f86de24ba7e46d17dd36ce,基于advbox的tf的底层接口实现人脸攻击,14,3,2018-09-19 16:46:43+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ea8782f4e634abeaaa10b71dead618c5b3b03aaa,基于advbox的tf的底层接口实现人脸攻击,4,1,2018-09-19 17:26:13+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
2ecbf71ade26ff00a95a22067cd85dfcd907ec29,把云服务器的api key独立出来,0,2,2018-09-20 12:25:29+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
9a8ab21e8bfc85238525197be26d9c5d8e871975,把配置文件独立,0,1,2018-09-20 12:26:57+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
dee94eac4ca87b1eb3a26463b54d6ba39d22eb45,增加数据集,0,16,2018-09-20 12:53:41+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d2e97d658a924f2a1436589b2a6c18b59840eb36,增加批量测试功能,7,3,2018-09-20 13:45:40+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
1dd7d1811a958f9fd28e1110454530f8418793ee,增加示例代码,0,1,2018-09-20 13:46:26+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
03786454ee7d28ea60ca2b806e1fc50455cc824e,支持python2.7,3,1,2018-09-20 14:21:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
4e04fb5c019e9af122a474619be0ec652697009a,增加0.3版本特性介绍,79,2,2018-09-20 14:25:39+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e9c4de552e65acaf94fdda22924b3ea9a047759e,修改注释,184,1,2018-09-20 17:11:26+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
76edc3dae880d4c6543eba31e5692b60a37e8963,更正错别字 解决https://github.com/baidu/AdvBox/pull/4,1,1,2018-09-24 19:20:34+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
0c68c14fa341d1fb88398ba36cbef767fed61808,add tempfile,1,4,2018-09-26 06:18:50+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b3d947e5bd305008b2df8c19a87b09bfee100413,add tempfile,1,3,2018-09-26 10:11:08+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
3517863b3b95c8fd66510dc08dc1ab7c94e3918d,增加物理攻击论文,0,3,2018-09-27 14:59:14+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
0270b1754a7b224c724e5fc15876e9f20e112052,更新配置文件,493,3,2018-09-28 13:55:51+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ee99060ce457b8bc4fe448f68721e741668d1bb0,add cw attack algorithm,0,1,2018-09-29 10:03:55+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
979002c98bc847b413ae8b3265bd54c3307d01d3,"Merge pull request #5 from Tristan-Hao/master

add cw attack algorithm",0,1,2018-09-29 12:28:33+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
56fe060f5244bc2d495b6f278d8fb25af21a4e15,Add CW/FGSM example (Imagenet dataset),0,14,2018-09-29 15:02:20+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b84d6ddba85c94d42499948bb447ad98489ed9e4,rename diretory,0,12,2018-09-29 15:05:50+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e22dd5591ebdf9e9ae85b5cb22eaa6df6ee366f9,update readme,0,1,2018-09-29 15:09:54+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
97533bc0ca128a62a8bd903ea5971ab06796f68c,update readme,2,2,2018-09-29 15:12:37+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f97b8e061726a8c906149b4f4689adc4c2b5cf78,Update README.md,10,1,2018-09-29 15:15:13+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
934d848c47ff1a3a540cb671e66020b8e7d3d601,Update README.md,17,1,2018-09-29 15:17:24+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
f6abacc2efe01f79fc17e70e276708da5a452b7b,Update README.md,0,1,2018-09-29 15:18:18+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
ab45517c1cee0882a5cc6b1604fcb08105fbce6f,Update README.md,6,1,2018-09-29 15:18:46+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
58a36b7db875fe6428e06b294b66edfcfa9af8c9,Update README.md,8,1,2018-09-29 15:20:55+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bb35a7c2e40c03e9214bd4591f7aac329e9eea02,Update README.md,2,1,2018-09-29 15:21:37+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
e7e859d117a6e7dcaa677f374faa0014c8181727,Update README.md,1,1,2018-09-29 15:23:29+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
fc1e243b0ea2fe7a36ea99f87826b260d0073155,Update README.md,4,1,2018-09-29 15:26:25+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
d4a85d794b50d7c42fd39bf6b4f0af65a2bc27aa,Update README.md,2,1,2018-09-29 15:28:05+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
